Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
His Bloody Project: Documents Relating to the Case of Roderick Macrae,Graeme Macrae Burnet,"",9781910192146,paperback,to-read,2024/12/02,"","",0,"",,,,,,,,,"",,"",No
The Biggest Ideas in the Universe,Sean Carroll,"",9780593186589,hardcover,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"",9780141032139,paperback,read,2024/07/19,"",2024/07/19-,1,"",,,,,,,,,"",,"",No
The Science of Murder: The Forensics of Agatha Christie,Carla Valentine,"",9781728251844,paperback,to-read,2024/04/15,"","",0,"",,,,,,,,,"",,"",No
1984,"Xavier Coste, George Orwell","",9782377315116,hardcover,read,2020/11/21,"","",1,"",,,,,,,5.0,,"",,"",No
"Watchmen #1: At Midnight, All The Agents…","Alan Moore, Alan Moore","John Higgins (Illustrator), Dave Gibbons (Illustrator)",,paperback,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
Conversations with Friends,Sally Rooney,"",9780571333134,paperback,read,2024/10/30,2024/11/06,2024/10/30-2024/11/06,1,"",,,,,,,,,"",,"",No
Babel,R.F. Kuang,"",9780008501815,hardcover,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
"Doing Harm: The Truth about How Bad Medicine and Lazy Science Leave Women Dismissed, Misdiagnosed, and Sick",Maya Dusenbery,"",9780062470805,hardcover,to-read,2024/11/18,"","",0,"",,,,,,,,,"",,"",No
We Have Always Lived in the Castle,Shirley Jackson,"Thomas Ott (Illustrator), Jonathan Lethem (Contributor)",9780143039976,paperback,to-read,2024/09/26,"","",0,"",,,,,,,,,"",,"",No
The Big Four,Agatha Christie,"",9780007120819,paperback,read,2024/04/10,2024/02/24,2024/02/21-2024/02/24,1,"mysterious, adventurous",medium,A mix,No,It's complicated,Yes,No,3.0,"","","","",Yes
Mrs McGinty's Dead,Agatha Christie,"",9780007527588,paperback,read,2025/02/24,2025/02/25,2025/02/19-2025/02/25,1,"dark, funny, mysterious",medium,"","","","","",3.5,"","","","",No
"Maus: Un survivant raconte. I, Mon père saigne l'histoire",Art Spiegelman,Judith Ertel (Translator),9782080660299,paperback,read,2019/07/29,"","",1,"",,,,,,,5.0,,"",,"",No
Manacled Volume 1,SenLinYu,"","",digital,read,2024/06/14,2024/06/03,2024/05/30-2024/06/03,1,"",,,,,,,,,"",,"",No
V for Vendetta #1,Alan Moore,David Lloyd (Illustrator),B00G9OHXFG,digital,to-read,2019/07/29,"","",0,"",,,,,,,,,"",,"",No
